CanonicalSMILES,CID
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)C#N)F)F,49779112
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)Cl)F)F,49779110
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=NC=C34)F)F,57963278
C1=CC(=C(C(=C1)F)SNC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F)F,144086991
C1=CC(=C(C(=C1)N)Br)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl,164939034
C1=CC(=C(C(=C1)N)Cl)C(=O)C2=CNC3=C2C=CC=N3,112580765
C1=CC(=C(C(=C1)N)Cl)C(=O)C2=CNC3=NC=CC(=C23)Cl,115937372
C1=CC(=C(C(=C1)N)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl,67376769
C1=CC(=C(C(=C1)N)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl,67376651
C1=CC(=C(C(=C1)N)F)C(=O)C2=CNC3=C2C=C(C=N3)F,67374426
C1=CC(=C(C(=C1)N)F)C(=O)C2=CNC3=C2C=CC=N3,68670719
C1=CC(=C(C(=C1)N=S(=O)=O)F)C(=O)C2=CNC3=C2C=CC=N3,90025907
C1=CC(=C(C(=C1)NS(=O)(=O)C(F)(F)F)F)C(=O)C2=CNC3=NC=NC=C23,44512105
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=C(C=C2)F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,66647169
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=C(C=C2)F)F)F)C(=O)C3=CNC4=NC=NC=C34,44512106
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=CC(=C2)F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,49779240
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=CC(=C2)F)F)F)C(=O)C3=CNC4=NC=NC=C34,57963258
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=CC=C2F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,49779242
C1=CC(=C(C(=C1)NS(=O)(=O)C2=C(C=CC=C2F)F)F)C(=O)C3=CNC4=NC=NC=C34,57963287
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,66647099
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl,66646676
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)C3=CNC4=NC=NC=C34,57963253
